type	freq
airliner	183
airliners	41
airlines	917
airlock	68
airlocks	16
airplay	16
airs	136
airstrip	78
airstrips	21
airt	3
airth	4
airts	1
airwaves	82
airway	122
airways	726
airy	275
aisle	421
aisled	42
aisles	186
aitch	15
aitches	13
ajar	125
ajuga	6
akademie	30
akela	4
akimbo	40
akin	411
akkadian	6
al	7017
alabaster	58
alabasters	1
alack	6
alacrity	86
alane	1
alang	6
alanine	34
alar	19
alarm	2249
alarmed	713
alarming	633
alarmingly	213
alarmist	68
alarmists	3
alarms	383
alarum	1
alarums	2
alas	627
alate	4
alb	17
albacore	14
albacores	1
albatross	75
albatrosses	20
albedo	25
albeit	1381
albescent	3
albinism	17
albino	74
albinos	6
albite	11
albs	2
album	2183
albumen	17
albumin	232
albumins	1
albums	447
alcalde	5
alcazar	13
alchemical	42
alchemilla	34
alchemist	62
alchemists	34
alchemy	81
alcohol	3191
alcoholic	933
alcoholics	135
alcoholism	245
alcohols	34
alcove	145
alcoves	34
aldebaran	15
aldehyde	6
aldehydes	9
alder	153
alderman	178
aldermen	63
alders	34
aldrin	10
ale	698
aleatory	3
alembic	13
alembics	4
alencon	6
aleph	3
alert	1541
alerted	461
alerting	90
alertly	14
alertness	87
alerts	61
ales	109
alewife	3
alewives	2
alfalfa	24
alfresco	14
alga	17
algae	599
algaes	6
algal	99
algebra	194
algebraic	124
algebraically	25
algebras	9
algicide	2
algicides	8
alginate	3
alginates	5
algol	24
algorithm	555
algorithms	232
alias	155
alibi	153
alibis	33
alien	1236
alienate	132
alienated	361
alienates	21
alienating	140
alienation	394
aliens	357
alight	365
alighted	88
alighting	41
alights	13
align	132
aligned	645
aligning	51
alignment	488
alignments	134
aligns	17
alike	1461
alikes	16
aliment	4
alimentary	46
alimentation	2
alimonies	1
alimony	30
aliphatic	6
aliquot	24
aliquots	64
alive	4058
aliyah	1
alizarin	21
alkali	290
alkaline	359
alkalinities	2
alkalinity	70
alkalis	47
alkaloid	21
alkaloids	32
alkalosis	8
alkane	11
alkanet	3
alky	1
alkyd	30
alkyds	3
alkyl	38
alkylate	4
alkylated	3
alkylating	7
alkyne	1
alkynes	7
all	282152
allay	134
allayed	63
allaying	16
allays	6
allee	11
allegation	370
allegations	1747
allege	116
alleged	3059
allegedly	1037
alleges	151
allegiance	660
allegiances	109
alleging	290
allegorical	97
allegorically	7
allegories	24
allegorist	1
allegory	183
allegretto	32
allegrettos	2
allegro	62
allegros	2
allele	85
alleles	75
allelic	19
allelopathic	1
allelopathy	1
alleluia	26
allergen	8
allergenic	27
allergens	25
allergic	254
allergies	116
allergist	5
allergists	7
allergy	235
alleviate	356
alleviated	97
alleviates	10
alleviating	88
alleviation	61
alley	641
alleys	170
alleyway	196
alleyways	104
alliance	3145
alliances	553
allied	1869
allies	1578
alligator	82
alligators	35
alliterate	1
alliterated	1
alliteration	44
alliterations	4
alliterative	24
alliteratively	1
allium	16
allo	47
allocate	480
allocated	1895
allocates	72
allocating	291
allocation	1867
allocations	476
allocative	53
allodial	10
allogeneic	2
allograft	19
allografts	11
allometric	7
allometries	1
allometry	18
allomorph	3
allopathic	6
allopathy	2
allophone	14
allophones	24
allophonic	19
allosaurus	8
allot	82
allotment	261
allotments	131
allotrope	5
allotropic	4
allotropy	4
allots	5
allotted	335
allotting	20
allow	11272
allowable	197
allowance	2146
allowances	1248
allowed	14017
allowing	4228
allows	4114
alloy	317
alloys	121
allround	7
allrounder	31
allrounders	8
allspice	14
allude	29
alluded	140
alludes	45
alluding	56
allure	69
allured	4
alluring	92
alluringly	8
allus	27
allusion	147
allusions	107
allusive	35
alluvial	79
alluvium	27
ally	851
allying	27
almanac	34
almanacs	15
almighty	384
almond	358
almonds	242
almoner	12
almoners	1
almonry	3
almost	30437
