word	lemma
barbel	130
barbell	33
barber	466
barberry	4
barbet	12
barbiturate	52
barby	14
barcarole	6
barcode	22
bard	176
barded	16
bare	4917
barefaced	11
barf	13
barfly	10
bargain	3020
barge	554
barged	99
bargello	3
barilla	3
barite	44
baritone	92
barium	155
bark	1447
barky	8
barley	600
barm	14
barmitzvah	8
barmy	93
barn	1597
barnacle	109
barnstorm	24
barnstormer	6
barograph	2
barometer	184
baron	1565
baronet	225
baronne	39
baroque	566
barque	27
barrack	159
barracks	628
barracuda	38
barrage	463
barrel	1496
barrelled	87
barren	441
barres	8
barret	2
barricade	303
barrier	3023
barrio	70
barrister	810
barrow	604
barter	239
baruch	12
basal	566
basalt	309
bascule	3
base	38376
baseball	419
basement	857
basenji	3
bash	571
bashful	56
basic	14550
basil	802
basilar	2
basileus	3
basilica	226
basilisk	17
basin	1602
basinal	11
basis	14372
bask	255
basket	1815
basketball	210
basmati	29
basophil	9
basque	493
bass	2262
basset	51
bassinet	4
basso	23
bassoon	145
basswood	10
bastard	1802
baste	63
bastion	191
bat	2377
batch	993
bateau	18
bated	24
bath	4678
bathe	1030
bathetic	32
bathyal	8
bathysphere	1
batik	28
batiste	12
baton	282
battalion	680
batten	306
battered	1122
batterie	9
battery	2131
battle	8269
battledore	3
battlement	126
batty	472
bauble	54
baud	10
baulk	107
bauxite	52
bawdry	7
bawdy	81
bawl	177
bay	3793
bayadere	5
bayard	13
bayberry	1
baying	58
bayonet	157
bayou	12
bazaar	269
bazooka	24
be	4725359
beach	4820
beachhead	7
beacon	440
bead	1002
beadle	118
beagle	93
beak	458
beaker	182
beam	2433
bean	1875
bear	14459
bearcat	19
beard	1414
bearnaise	1
bearwood	5
beast	1509
beat	11436
beatific	23
beatify	62
beatnik	29
beau	245
beaucoup	10
beaujolais	62
beauty	14033
beaver	275
bebop	18
becalm	36
because	117444
bechamel	8
beck	638
beckon	474
becloud	4
become	66229
bed	18376
bedazzle	8
bedecked	52
bedel	8
bedell	13
bedevil	108
bedlam	66
bedpan	26
bedraggled	64
bedridden	46
bedrock	162
bedsit	127
bedstead	75
bee	1379
beech	519
beef	1623
beefcake	14
beefeater	54
beefed	50
beeline	19
beep	182
beer	3744
beeswax	61
beet	143
beetle	572
beetroot	62
beezer	21
befall	194
befit	159
befog	5
before	85183
beforehand	667
befoul	3
befriend	185
befuddle	36
beg	2490
beget	114
begin	50518
begone	18
begonia	65
begorrah	3
begrime	6
begrudge	72
beguile	143
beguine	7
behalf	4037
behave	3456
behaviour	14155
behead	114
behemoth	27
behest	111
behind	22565
behold	405
behove	44
beige	242
beignet	2
bejewelled	29
belabour	14
belated	380
belay	126
belch	248
beldam	16
beleaguer	254
belfry	126
belie	239
